model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,marka,tax(£),fuel type,engine size,mileage2,fuel type2,engine size2,reference
 Focus,2018.0," £11,000",Manual,"48,961",,,,,unclean focus,,,£150,57.7,Petrol,1,/ad/25457442
 B Class,2019.0,22699,Semi-Auto,12706,Petrol,145.0,45.6,1.3,merc,,,,,,,
 GLE Class,2016.0,29990,Semi-Auto,63250,Diesel,145.0,32.5,3.0,merc,,,,,,,
 M5,2019.0,73990,Automatic,1501,Petrol,145.0,24.1,4.4,bmw,,,,,,,
 3 Series,2016.0,17640,Semi-Auto,28590,Diesel,145.0,56.5,3.0,bmw,,,,,,,
 Yaris,2018.0,10995,Manual,11112,Petrol,145.0,58.9,1.5,toyota,,,,,,,
 Aygo,2019.0,9391,Manual,3,Petrol,145.0,56.5,1.0,toyota,,,,,,,
 A5,2018.0,23995,Manual,13500,Diesel,145.0,64.2,2.0,audi,,,,,,,
 Aygo,2017.0,9495,Automatic,23378,Other,150.0,67.3,1.0,toyota,,,,,,,
 Arteon,2019.0,22499,Automatic,5419,Petrol,145.0,48.7,1.5,vw,,,,,,,
 Sharan,2019.0,22990,Semi-Auto,9277,Diesel,145.0,41.5,2.0,vw,,,,,,,
 Tiguan,2019.0,31000,Automatic,11707,Diesel,145.0,35.3,2.0,vw,,,,,,,
 Golf,2017.0,21990,Automatic,35000,Petrol,145.0,39.8,2.0,vw,,,,,,,
 Focus,2018.0,10000,Manual,48141,Petrol,145.0,61.4,1.0,ford,,,,,,,
 I800,2017.0,14000,Automatic,23870,Diesel,,33.6,2.5,hyundi,325.0,,,,,,
 Kona,2019.0,13995,Manual,13192,Petrol,,44.1,1.0,hyundi,150.0,,,,,,
 Fiesta,2018.0,10000,Manual,16712,Petrol,145.0,65.7,1.0,ford,,,,,,,
 C-MAX,2015.0,8295,Manual,29229,Diesel,30.0,61.4,1.6,ford,,,,,,,
 Focus,2017.0,12120,Manual,16853,Petrol,145.0,57.7,1.0,ford,,,,,,,
 Viva,2017.0,5993,Manual,8982,Petrol,145.0,62.8,1.0,vauxhall,,,,,,,
 Corsa,2018.0,8599,Manual,22766,Diesel,145.0,72.4,1.3,vauxhall,,,,,,,
 CL Class,2017.0,24119,Semi-Auto,18692,Petrol,200.0,42.2,2.0,merc,,,,,,,
 Beetle,2013.0,7299,Manual,61410,Diesel,125.0,57.6,2.0,vw,,,,,,,
 Yaris,2017.0,10495,Manual,16548,Petrol,145.0,58.9,1.5,toyota,,,,,,,
 Insignia,2018.0,12299,Manual,36474,Diesel,145.0,65.7,1.6,vauxhall,,,,,,,
 Fiesta,2018.0,11640,Manual,7205,Petrol,150.0,65.7,1.0,ford,,,,,,,
 Q2,2019.0,29790,Semi-Auto,2611,Petrol,145.0,33.2,2.0,audi,,,,,,,
 Kuga,2017.0,16290,Automatic,15344,Petrol,235.0,38.2,1.5,ford,,,,,,,
 Focus,2014.0," £7,997",Manual,"42,792",,,,,unclean focus,,15,£30,56.5,Petrol,1,/ad/25376511
 Q2,2019.0,28495,Automatic,3381,Petrol,145.0,40.9,1.5,audi,,,,,,,
 4 Series,2017.0,18980,Semi-Auto,31250,Diesel,150.0,65.7,2.0,bmw,,,,,,,
 Focus,2017.0,16492,Manual,16449,Petrol,,,2.0,focus,,,,,,,
 S-MAX,2019.0,25995,Manual,12369,Diesel,145.0,54.3,2.0,ford,,,,,,,
 C Class,2019.0," £24,499",Semi-Auto,"14,525",,,,,unclean cclass,,,£145,44.1,Petrol,1.5,/ad/25373846
 Fiesta,2017.0,7480,Manual,47959,Diesel,0.0,78.5,1.5,ford,,,,,,,
 Mokka X,2018.0,11720,Manual,15437,Petrol,145.0,47.1,1.4,vauxhall,,,,,,,
 Hilux,2017.0,19350,Automatic,20758,Diesel,260.0,36.2,2.4,toyota,,,,,,,
 Arteon,2019.0,24990,Semi-Auto,5807,Diesel,145.0,44.1,2.0,vw,,,,,,,
 Fiesta,2017.0,13745,Manual,11964,Petrol,145.0,47.9,1.6,ford,,,,,,,
 A Class,2018.0,16699,Manual,26758,Petrol,145.0,51.4,1.6,merc,,,,,,,
 I10,2015.0,5891,Manual,23234,Petrol,,60.1,1.0,hyundi,20.0,,,,,,
 C Class,2014.0,11290,Automatic,48000,Diesel,145.0,56.5,2.1,merc,,,,,,,
 SLK,2004.0,4890,Automatic,46000,Petrol,330.0,28.0,3.5,merc,,,,,,,
 3 Series,2015.0,14800,Manual,25481,Diesel,30.0,64.2,2.0,bmw,,,,,,,
 Astra,2018.0,12590,Manual,25308,Diesel,145.0,68.9,1.6,vauxhall,,,,,,,
 M4,2016.0,32983,Automatic,33113,Petrol,300.0,34.0,3.0,bmw,,,,,,,
 Touareg,2016.0,21995,Semi-Auto,31713,Diesel,240.0,42.8,3.0,vw,,,,,,,
 C Class,2016.0,16000,Automatic,67490,Hybrid,0.0,134.5,2.0,merc,,,,,,,
 Mokka,2015.0,8999,Manual,14000,Petrol,200.0,40.9,1.6,vauxhall,,,,,,,
 Astra,2016.0,8800,Manual,35201,Diesel,20.0,72.4,1.6,vauxhall,,,,,,,
 Focus,2017.0,19320,Manual,11909,Petrol,145.0,41.5,2.0,ford,,,,,,,
 Polo,2017.0,9750,Manual,27938,Petrol,150.0,58.9,1.0,vw,,,,,,,
 Astra,2017.0,11990,Automatic,20000,Petrol,125.0,50.4,1.4,vauxhall,,,,,,,
 GLC Class,2015.0,22990,Semi-Auto,31289,Diesel,125.0,56.5,2.1,merc,,,,,,,
 Golf,2019.0,22950,Semi-Auto,6780,Petrol,145.0,44.1,1.5,vw,,,,,,,
 Fiesta,2014.0,6999,Manual,50000,Petrol,0.0,65.7,1.0,ford,,,,,,,
 A5,2018.0,29990,Semi-Auto,7479,Petrol,145.0,36.7,3.0,audi,,,,,,,
 C Class,2015.0,14698,Semi-Auto,43331,Diesel,20.0,64.2,2.1,merc,,,,,,,
 Q3,2014.0,12210,Manual,63998,Diesel,160.0,50.4,2.0,audi,,,,,,,
 Crossland X,2017.0,12491,Manual,12829,Petrol,145.0,57.7,1.2,vauxhall,,,,,,,
 Q7,2016.0,29498,Semi-Auto,36816,Diesel,160.0,48.7,3.0,audi,,,,,,,
 Focus,2017.0,10899,Manual,44864,Petrol,145.0,60.1,1.0,ford,,,,,,,
 A6,2016.0,14700,Manual,72967,Diesel,30.0,61.4,2.0,audi,,,,,,,
 Astra,2017.0,10498,Manual,18286,Petrol,145.0,51.4,1.4,vauxhall,,,,,,,
 M Class,2011.0,10990,Automatic,69000,Diesel,555.0,32.5,3.0,merc,,,,,,,
 X1,2019.0,24712,Semi-Auto,9697,Petrol,145.0,39.8,1.5,bmw,,,,,,,
 Insignia,2019.0,14998,Manual,9795,Petrol,145.0,50.4,1.5,vauxhall,,,,,,,
 A Class,2019.0,23499,Semi-Auto,1718,Diesel,145.0,67.3,1.5,merc,,,,,,,
 Mokka X,2017.0,10490,Manual,21019,Petrol,145.0,47.1,1.4,vauxhall,,,,,,,
 C Class,2017.0,24990,Automatic,6668,Diesel,,,2.1,cclass,,,,,,,
 3 Series,2016.0,24495,Automatic,45853,Diesel,200.0,49.6,3.0,bmw,,,,,,,
 C Class,2017.0,21498,Semi-Auto,20981,Diesel,,,2.1,cclass,,,,,,,
 Astra,2016.0,9490,Manual,20410,Petrol,20.0,64.2,1.0,vauxhall,,,,,,,
 Fiesta,2017.0,12499,Manual,4277,Petrol,145.0,62.8,1.0,ford,,,,,,,
 E Class,2017.0,22350,Semi-Auto,14850,Diesel,145.0,61.4,2.0,merc,,,,,,,
 C Class,2019.0,25699,Semi-Auto,13044,Diesel,,,2.0,cclass,,,,,,,
 Golf,2019.0,31066,Semi-Auto,1863,Petrol,145.0,32.8,2.0,vw,,,,,,,
 Ka+,2018.0,7900,Manual,29339,Petrol,145.0,57.7,1.2,ford,,,,,,,
 A1,2016.0,10499,Manual,34886,Diesel,0.0,76.3,1.6,audi,,,,,,,
 2 Series,2019.0,27995,Automatic,110,Diesel,145.0,64.2,2.0,bmw,,,,,,,
 C Class,2019.0,20299,Semi-Auto,14973,Diesel,145.0,61.4,2.0,merc,,,,,,,
 A Class,2017.0,13990,Semi-Auto,17603,Petrol,125.0,53.3,1.6,merc,,,,,,,
 Fiesta,2017.0,9000,Manual,31640,Diesel,265.0,78.5,1.5,ford,,,,,,,
 Fiesta,2017.0,9995,Manual,11933,Petrol,145.0,64.2,1.1,ford,,,,,,,
 Crossland X,2019.0,12998,Manual,13829,Petrol,150.0,47.1,1.2,vauxhall,,,,,,,
 Mokka,2016.0,9360,Manual,16518,Diesel,30.0,65.7,1.6,vauxhall,,,,,,,
 Aygo,2018.0,7995,Semi-Auto,4580,Petrol,145.0,67.0,1.0,toyota,,,,,,,
 C Class,2019.0," £26,699",Semi-Auto,"10,597",,,,,unclean cclass,,,£145,46.3,Petrol,1.5,/ad/25272383
 Focus,2018.0,10950,Manual,20191,Petrol,145.0,61.4,1.0,ford,,,,,,,
 C Class,2014.0,17330,Semi-Auto,32475,Diesel,30.0,64.2,2.1,merc,,,,,,,
 Passat,2019.0,26995,Semi-Auto,4991,Petrol,145.0,39.2,1.5,vw,,,,,,,
 C Class,2019.0,25549,Semi-Auto,15144,Diesel,150.0,61.4,2.0,merc,,,,,,,
 X7,2019.0,77880,Semi-Auto,6506,Diesel,150.0,31.4,3.0,bmw,,,,,,,
 Q5,2017.0,30981,Semi-Auto,18331,Petrol,145.0,40.4,2.0,audi,,,,,,,
 GLE Class,2019.0,55599,Semi-Auto,1594,Diesel,145.0,32.8,2.9,merc,,,,,,,
 Focus,2015.0,7995,Manual,34017,Diesel,,,1.6,focus,,,,,,,
 Kuga,2019.0,19800,Manual,1469,Petrol,145.0,39.2,1.5,ford,,,,,,,
 Q3,2019.0,35990,Automatic,6675,Petrol,145.0,38.2,1.5,audi,,,,,,,
 Q3,2016.0,15200,Automatic,58750,Petrol,145.0,47.9,1.4,audi,,,,,,,
 3 Series,2014.0,11999,Manual,49969,Diesel,30.0,61.4,2.0,bmw,,,,,,,
 E Class,2019.0,24965,Automatic,14908,Diesel,145.0,72.4,2.0,merc,,,,,,,
 Q7,2018.0,47995,Semi-Auto,8618,Diesel,145.0,32.8,3.0,audi,,,,,,,
 Yaris,2019.0,11850,Manual,5855,Petrol,150.0,58.9,1.5,toyota,,,,,,,
 C Class,2017.0,19280,Semi-Auto,43855,Diesel,,,2.1,cclass,,,,,,,
 Focus,2019.0,16298,Automatic,12029,Petrol,,,1.0,focus,,,,,,,
 V Class,2019.0,42980,Semi-Auto,1998,Diesel,145.0,37.7,2.0,merc,,,,,,,
 Astra,2016.0,7699,Manual,74495,Diesel,20.0,72.4,1.6,vauxhall,,,,,,,
 Focus,2019.0,14390,Manual,10889,Petrol,145.0,58.9,1.0,ford,,,,,,,
 Fiesta,2018.0,10490,Manual,30922,Petrol,145.0,65.7,1.0,ford,,,,,,,
 Fiesta,2018.0,9700,Manual,6302,Petrol,145.0,64.2,1.1,ford,,,,,,,
 Octavia,2019.0,17991,Automatic,2333,Diesel,145.0,54.3,2.0,skoda,,,,,,,
 B-MAX,2018.0,9000,Manual,31894,Petrol,145.0,55.4,1.0,ford,,,,,,,
 Tiguan,2015.0,13995,Manual,38000,Diesel,145.0,53.3,2.0,vw,,,,,,,
 T-Roc,2018.0,16995,Manual,30214,Petrol,145.0,55.4,1.0,vw,,,,,,,
 Q5,2020.0,37495,Automatic,7511,Petrol,145.0,32.1,2.0,audi,,,,,,,
 Polo,2016.0,14800,Semi-Auto,15500,Petrol,125.0,50.4,1.8,vw,,,,,,,
 Fabia,2019.0,14499,Manual,5000,Petrol,150.0,60.1,1.0,skoda,,,,,,,
 Fabia,2019.0,12250,Manual,3138,Petrol,145.0,61.4,1.0,skoda,,,,,,,
 Santa Fe,2020.0,35995,Semi-Auto,1801,Diesel,,39.8,2.2,hyundi,145.0,,,,,,
 C Class,2017.0," £22,767",Automatic,,,,,,unclean cclass,,Diesel,2.1,"30,676",,,/ad/25474393
 A1,2017.0,13400,Semi-Auto,22653,Petrol,145.0,64.2,1.0,audi,,,,,,,
 Astra,2020.0,15650,Manual,100,Petrol,145.0,54.3,1.2,vauxhall,,,,,,,
 3 Series,2019.0,22998,Semi-Auto,6394,Diesel,150.0,54.3,2.0,bmw,,,,,,,
 Fabia,2017.0,10795,Manual,15085,Petrol,20.0,58.9,1.2,skoda,,,,,,,
 Insignia,2016.0,8599,Manual,49078,Diesel,20.0,68.9,1.6,vauxhall,,,,,,,
 Golf,2017.0,15491,Manual,91000,Diesel,150.0,60.1,2.0,vw,,,,,,,
 Fabia,2017.0,11995,Manual,23968,Petrol,145.0,64.2,1.0,skoda,,,,,,,
 A3,2019.0,25490,Automatic,750,Diesel,145.0,52.3,1.6,audi,,,,,,,
 Polo,2017.0,11199,Manual,32350,Petrol,150.0,60.1,1.2,vw,,,,,,,
 Mokka X,2017.0,10495,Manual,27463,Petrol,145.0,47.1,1.4,vauxhall,,,,,,,
 E Class,2019.0,25899,Semi-Auto,4997,Diesel,145.0,72.4,2.0,merc,,,,,,,
 Astra,2017.0,9222,Manual,27000,Petrol,125.0,51.4,1.4,vauxhall,,,,,,,
 1 Series,2016.0,10250,Manual,68332,Diesel,20.0,68.9,2.0,bmw,,,,,,,
 I800,2019.0,19000,Automatic,14674,Diesel,,31.7,2.5,hyundi,145.0,,,,,,
 5 Series,2015.0,12990,Automatic,86000,Diesel,160.0,51.4,3.0,bmw,,,,,,,
 Santa Fe,2015.0,16990,Semi-Auto,46045,Diesel,,42.2,2.2,hyundi,265.0,,,,,,
 CL Class,2017.0,18999,Automatic,35673,Diesel,145.0,67.3,2.1,merc,,,,,,,
 Mondeo,2017.0,15695,Automatic,36000,Petrol,235.0,38.2,2.0,ford,,,,,,,
 Q7,2018.0,53999,Semi-Auto,21100,Diesel,150.0,39.2,4.0,audi,,,,,,,
 Q5,2016.0,18450,Automatic,49450,Diesel,200.0,47.1,2.0,audi,,,,,,,
 Focus,2019.0,16000,Automatic,5367,Petrol,150.0,50.4,1.0,ford,,,,,,,
 Kamiq,2020.0,21750,Semi-Auto,2500,Petrol,145.0,43.5,1.5,skoda,,,,,,,
 Focus,2018.0," £13,500",Manual,"11,382",,,,,unclean focus,,,£145,57.7,Petrol,1,/ad/25130463
 C Class,2014.0," £15,999",Semi-Auto,"31,273",,,,,unclean cclass,,29,£125,52.3,Petrol,2,/ad/25293612
 C Class,2019.0," £19,849",Semi-Auto,"14,084",,,,,unclean cclass,,,£145,46.3,Petrol,1.5,/ad/25374022
 Focus,2017.0,11202,Manual,26500,Petrol,,,1.0,focus,,,,,,,
 Astra,2014.0,5698,Manual,53011,Petrol,160.0,44.1,1.6,vauxhall,,,,,,,
 1 Series,2019.0,28500,Semi-Auto,9058,Diesel,150.0,51.4,2.0,bmw,,,,,,,
 I30,2015.0,8498,Manual,20662,Petrol,,48.7,1.4,hyundi,145.0,,,,,,
 C Class,2019.0," £28,250",Automatic,"3,477",,,,,unclean cclass,,,£145,61.4,Diesel,2000,/ad/25111654
 Focus,2018.0," £14,500",Automatic,,,,,,unclean focus,,Petrol,1,"22,587",,,/ad/25386550
 Kuga,2017.0,15500,Manual,23735,Diesel,150.0,64.2,1.5,ford,,,,,,,
 A3,2016.0,11998,Manual,31952,Diesel,0.0,83.1,1.6,audi,,,,,,,
 C Class,2019.0,25949,Semi-Auto,12582,Diesel,145.0,61.4,2.0,merc,,,,,,,
 Focus,2016.0," £10,337",Manual,"23,126",,,,,unclean focus,,,£0,74.3,Diesel,1.5,/ad/25354772
 Sharan,2019.0,22490,Manual,15672,Diesel,145.0,43.5,2.0,vw,,,,,,,
 Focus,2019.0," £16,125",Manual,"1,388",,,,,unclean focus,,,£145,51.4,Petrol,1.5,/ad/24780475
 SL CLASS,2020.0,39995,Semi-Auto,250,Petrol,145.0,35.8,2.0,merc,,,,,,,
 C Class,2019.0,29899,Semi-Auto,8601,Diesel,145.0,57.7,2.0,merc,,,,,,,
 Tucson,2016.0,12498,Manual,21037,Diesel,,61.7,1.7,hyundi,30.0,,,,,,
 Verso,2016.0,12495,Semi-Auto,36318,Petrol,160.0,43.5,1.8,toyota,,,,,,,
 Focus,2020.0," £22,000",Manual,50,,,,,unclean focus,,,£145,48.7,Petrol,1,/ad/25408906
 Astra,2017.0,10395,Manual,18000,Petrol,125.0,51.4,1.4,vauxhall,,,,,,,
 C Class,2016.0,18249,Automatic,36077,Diesel,,,2.1,cclass,,,,,,,
 GLE Class,2016.0,28950,Semi-Auto,33129,Diesel,260.0,42.8,3.0,merc,,,,,,,
 Tucson,2019.0,17995,Manual,11341,Petrol,,34.9,1.6,hyundi,145.0,,,,,,
 Fiesta,2014.0,5950,Manual,64327,Diesel,0.0,76.4,1.5,ford,,,,,,,
 C Class,2015.0," £11,990",Manual,"75,920",,,,,unclean cclass,,30,,,Diesel,2143,/ad/25429520
 Focus,2017.0," £10,500",Manual,"30,933",,,,,unclean focus,,,£145,60.1,Petrol,1,/ad/25444093
 T-Cross,2020.0,20999,Manual,1711,Petrol,145.0,47.9,1.0,vw,,,,,,,
 Golf,2018.0,23290,Manual,755,Petrol,145.0,43.5,2.0,vw,,,,,,,
 Mokka X,2017.0,13321,Automatic,12941,Petrol,160.0,43.5,1.4,vauxhall,,,,,,,
 Passat,2019.0,18989,Manual,5919,Petrol,145.0,45.6,1.5,vw,,,,,,,
 Fiesta,2018.0,11900,Manual,10549,Petrol,145.0,65.7,1.0,ford,,,,,,,
 Superb,2017.0,14498,Semi-Auto,19674,Diesel,145.0,70.6,1.6,skoda,,,,,,,
 Focus,2018.0," £18,500",Manual,"12,135",,,,,unclean focus,,26,£145,67.3,Diesel,2,/ad/25291029
 4 Series,2015.0,17899,Automatic,23413,Petrol,235.0,38.2,3.0,bmw,,,,,,,
 X3,2019.0,33980,Semi-Auto,1962,Diesel,150.0,54.3,2.0,bmw,,,,,,,
 Yaris,2017.0,12495,Automatic,8807,Hybrid,0.0,86.0,1.5,toyota,,,,,,,
 A Class,2019.0,19990,Semi-Auto,9191,Petrol,145.0,53.3,1.3,merc,,,,,,,
 C Class,2019.0," £23,948",Automatic,"16,496",,,,,unclean cclass,,,£145,46.3,Petrol,1.5,/ad/25071835
 C Class,2014.0,16450,Automatic,41000,Diesel,30.0,64.2,2.1,merc,,,,,,,
 Focus,2015.0," £9,000",Manual,"22,331",,,,,unclean focus,,11,£20,61.4,Petrol,1000,/ad/25404469
 Fiesta,2016.0,7998,Manual,16070,Petrol,125.0,54.3,1.2,ford,,,,,,,
 Insignia,2019.0,21995,Manual,23,Diesel,145.0,49.6,2.0,vauxhall,,,,,,,
 Focus,2017.0,12990,Manual,4883,Petrol,20.0,60.1,1.0,ford,,,,,,,
 Focus,2018.0,13899,Manual,14563,Diesel,,,1.5,focus,,,,,,,
 Aygo,2019.0,9790,Manual,3500,Petrol,145.0,56.5,1.0,toyota,,,,,,,
 KA,2017.0,8600,Manual,10631,Petrol,150.0,57.7,1.2,ford,,,,,,,
 Fabia,2016.0,7895,Manual,27003,Petrol,20.0,60.1,1.2,skoda,,,,,,,
 A Class,2019.0,23980,Automatic,6945,Petrol,150.0,28.5,1.3,merc,,,,,,,
 Focus,2019.0," £17,990",Automatic,"3,289",,,,,unclean focus,,,£145,74.3,Diesel,1498,/ad/25058099
 Insignia,2018.0,11758,Manual,41657,Petrol,150.0,47.1,1.5,vauxhall,,,,,,,
 C Class,2019.0," £29,290",Semi-Auto,"4,703",,,,,unclean cclass,,,£145,57.7,Diesel,2,/ad/25274846
 E Class,2017.0,19395,Semi-Auto,22767,Diesel,145.0,72.4,2.0,merc,,,,,,,
 Kuga,2017.0,17498,Manual,22439,Diesel,145.0,54.3,2.0,ford,,,,,,,
 C Class,2019.0," £20,199",Semi-Auto,"11,381",,,,,unclean cclass,,,£145,46.3,Petrol,1.5,/ad/25373841
 Astra,2017.0,10500,Manual,18423,Petrol,125.0,51.4,1.4,vauxhall,,,,,,,
 3 Series,2019.0,25000,Semi-Auto,3932,Diesel,145.0,62.8,2.0,bmw,,,,,,,
 C-HR,2018.0,23495,Automatic,11882,Hybrid,135.0,74.3,1.8,toyota,,,,,,,
 Zafira,2016.0,10499,Manual,43961,Petrol,200.0,42.2,1.4,vauxhall,,,,,,,
 Astra,2018.0,12500,Manual,27303,Petrol,145.0,51.4,1.4,vauxhall,,,,,,,
 A Class,2020.0,26495,Semi-Auto,1700,Diesel,145.0,56.5,2.0,merc,,,,,,,
 C Class,2017.0,24000,Semi-Auto,24035,Petrol,165.0,43.5,2.0,merc,,,,,,,
 Focus,2015.0,9000,Manual,22331,Petrol,20.0,61.4,1.0,ford,,,,,,,
 Yaris,2018.0,13488,Automatic,5886,Hybrid,135.0,76.3,1.5,toyota,,,,,,,
 Octavia,2019.0,23998,Semi-Auto,10,Petrol,145.0,47.9,2.0,skoda,,,,,,,
 Auris,2017.0,15694,Automatic,8613,Hybrid,135.0,78.5,1.8,toyota,,,,,,,
 Meriva,2016.0,7995,Automatic,42930,Petrol,235.0,39.8,1.4,vauxhall,,,,,,,
 Octavia,2019.0,14898,Semi-Auto,14457,Diesel,145.0,70.6,1.6,skoda,,,,,,,
 Corsa,2018.0,8499,Manual,10793,Petrol,145.0,55.4,1.4,vauxhall,,,,,,,
 C Class,2019.0,19749,Semi-Auto,14619,Petrol,,,1.5,cclass,,,,,,,
 Fabia,2017.0,6995,Manual,25588,Petrol,145.0,64.2,1.0,skoda,,,,,,,
 Tucson,2018.0,16495,Semi-Auto,33500,Diesel,,57.7,1.7,hyundi,145.0,,,,,,
 Focus,2018.0,13491,Manual,15919,Petrol,145.0,57.7,1.0,ford,,,,,,,
 Fiesta,2017.0,7710,Manual,23644,Petrol,145.0,65.7,1.0,ford,,,,,,,
 Amarok,2018.0,27295,Automatic,6200,Diesel,260.0,36.2,3.0,vw,,,,,,,
 Yaris,2019.0,12000,Manual,6256,Petrol,145.0,47.9,1.5,toyota,,,,,,,
 Focus,2017.0,12250,Manual,12548,Petrol,145.0,61.4,1.0,ford,,,,,,,
 Tourneo Connect,2019.0,20000,Manual,1390,Diesel,145.0,61.4,1.5,ford,,,,,,,
 C Class,2019.0,34790,Automatic,3000,Diesel,,,2.0,cclass,,,,,,,
 A5,2013.0,15900,Semi-Auto,29323,Petrol,160.0,39.2,2.0,audi,,,,,,,
 Focus,2018.0,12000,Manual,11300,Petrol,,,1.0,focus,,,,,,,
 Focus,2018.0," £15,475",Automatic,"15,751",,,,,unclean focus,,,£145,67.3,Diesel,1.5,/ad/25358923
 GL Class,2015.0,17399,Automatic,23117,Diesel,125.0,55.4,2.1,merc,,,,,,,
 Focus,2017.0," £10,390",Manual,"30,261",,,,,unclean focus,,,£0,74.3,Diesel,1.5,/ad/25453805
 Fiesta,2020.0,14950,Manual,100,Petrol,145.0,56.5,1.0,ford,,,,,,,
 Focus,2019.0," £16,495",Manual,"7,820",,,,,unclean focus,,,£145,60.1,Petrol,1,/ad/25197633
 Fiesta,2017.0,10300,Manual,20914,Petrol,0.0,65.7,1.0,ford,,,,,,,
 Q7,2019.0,47555,Automatic,14495,Diesel,145.0,32.8,3.0,audi,,,,,,,
 A3,2014.0,10800,Manual,44015,Diesel,20.0,67.3,2.0,audi,,,,,,,
 CC,2016.0,12950,Semi-Auto,24500,Diesel,125.0,58.9,2.0,vw,,,,,,,
 A5,2019.0,24990,Automatic,2650,Diesel,150.0,67.3,2.0,audi,,,,,,,
 Focus,2019.0,19300,Manual,2958,Diesel,145.0,70.6,2.0,ford,,,,,,,
 Touran,2016.0,13498,Manual,43970,Diesel,30.0,64.2,1.6,vw,,,,,,,
 C Class,2019.0," £24,980",Semi-Auto,"7,043",,,,,unclean cclass,,,£145,45.6,Petrol,1.5,/ad/25278738
 Mokka X,2018.0,11990,Manual,13076,Petrol,145.0,39.2,1.4,vauxhall,,,,,,,
 Octavia,2017.0,11994,Manual,30159,Diesel,145.0,67.3,1.6,skoda,,,,,,,
 C Class,2019.0,28990,Automatic,5000,Petrol,,,1.6,cclass,,,,,,,
 A3,2014.0,10202,Manual,34250,Petrol,30.0,55.4,1.4,audi,,,,,,,
 Corsa,2016.0,6995,Manual,30042,Petrol,0.0,65.7,1.0,vauxhall,,,,,,,
 A3,2019.0,24425,Semi-Auto,8424,Diesel,150.0,50.4,2.0,audi,,,,,,,
 I30,2013.0,4995,Manual,71271,Petrol,,47.1,1.4,hyundi,145.0,,,,,,
 Tucson,2018.0,15190,Manual,8557,Petrol,,44.8,1.6,hyundi,145.0,,,,,,
 A3,2016.0,12900,Semi-Auto,30999,Diesel,30.0,64.2,2.0,audi,,,,,,,
